draw_no,date,n1,n2,n3,n4,n5,n6,n7,n8,numbers,first_winners,first_prize_yen
204,2021-03-17,1,7,15,20,25,27,35,40,01 07 15 20 25 27 35 40,4,6009100
205,2021-03-24,2,10,14,17,25,28,34,36,02 10 14 17 25 28 34 36,5,4370400
206,2021-03-31,4,9,15,19,25,29,35,38,04 09 15 19 25 29 35 38,14,1780800
207,2021-04-07,2,7,13,20,23,30,32,39,02 07 13 20 23 30 32 39,2,10502200
208,2021-04-14,1,7,12,18,23,26,35,38,01 07 12 18 23 26 35 38,2,11005900
209,2021-04-21,1,7,12,18,25,26,31,36,01 07 12 18 25 26 31 36,1,22264700
210,2021-04-28,5,6,11,17,22,26,31,38,05 06 11 17 22 26 31 38,2,11500700
211,2021-05-05,5,8,12,16,21,29,33,36,05 08 12 16 21 29 33 36,7,2559100
212,2021-05-12,2,7,12,18,22,29,35,38,02 07 12 18 22 29 35 38,4,5318000
213,2021-05-19,2,6,15,18,23,29,33,40,02 06 15 18 23 29 33 40,3,7261600
214,2021-05-26,4,7,15,20,25,27,32,38,04 07 15 20 25 27 32 38,3,7759600
215,2021-06-02,4,10,14,18,21,26,31,39,04 10 14 18 21 26 31 39,4,5541100
216,2021-06-09,5,8,14,19,22,28,35,38,05 08 14 19 22 28 35 38,0,0
217,2021-06-16,3,8,14,17,23,28,32,37,03 08 14 17 23 28 32 37,7,3342400
218,2021-06-23,3,8,14,17,22,29,32,39,03 08 14 17 22 29 32 39,7,3268400
219,2021-06-30,1,10,11,18,21,26,34,38,01 10 11 18 21 26 34 38,0,0
220,2021-07-07,3,9,11,19,23,30,32,38,03 09 11 19 23 30 32 38,8,2874000
221,2021-07-14,5,6,14,17,24,29,31,40,05 06 14 17 24 29 31 40,1,20620400
222,2021-07-21,1,10,12,19,25,26,32,39,01 10 12 19 25 26 32 39,4,5573700
223,2021-07-28,5,8,11,16,22,28,35,36,05 08 11 16 22 28 35 36,3,6971800
224,2021-08-04,5,8,13,18,21,26,35,37,05 08 13 18 21 26 35 37,1,20184100
225,2021-08-11,1,9,11,18,22,29,32,39,01 09 11 18 22 29 32 39,3,6535900
226,2021-08-18,1,8,13,17,22,27,35,37,01 08 13 17 22 27 35 37,1,20642900
227,2021-08-25,3,8,12,16,22,28,31,36,03 08 12 16 22 28 31 36,4,5576300
228,2021-09-01,5,8,13,17,24,27,34,37,05 08 13 17 24 27 34 37,5,4385000
229,2021-09-08,5,6,12,16,22,27,35,37,05 06 12 16 22 27 35 37,6,3539400
230,2021-09-15,3,8,14,17,25,28,32,40,03 08 14 17 25 28 32 40,3,7447300
231,2021-09-22,1,8,15,20,22,28,34,39,01 08 15 20 22 28 34 39,1,22873500
232,2021-09-29,1,10,15,19,25,30,35,39,01 10 15 19 25 30 35 39,1,21810600
233,2021-10-06,2,10,13,16,23,30,32,40,02 10 13 16 23 30 32 40,2,11848700
234,2021-10-13,4,6,13,16,23,30,31,37,04 06 13 16 23 30 31 37,3,7294900
235,2021-10-20,1,7,14,18,21,29,35,40,01 07 14 18 21 29 35 40,2,10378800
236,2021-10-27,2,8,14,18,23,27,34,37,02 08 14 18 23 27 34 37,11,1955400
237,2021-11-03,2,8,12,16,21,29,35,39,02 08 12 16 21 29 35 39,3,6672400
238,2021-11-10,2,7,14,16,24,27,34,39,02 07 14 16 24 27 34 39,5,4157400
239,2021-11-17,3,8,11,18,21,27,33,37,03 08 11 18 21 27 33 37,4,5153000
240,2021-11-24,2,10,13,20,21,26,35,40,02 10 13 20 21 26 35 40,2,11181700
241,2021-12-01,4,10,12,20,24,29,35,38,04 10 12 20 24 29 35 38,1,21126700
242,2021-12-08,2,6,14,20,22,28,31,38,02 06 14 20 22 28 31 38,6,3405600
243,2021-12-15,3,6,14,18,23,28,33,37,03 06 14 18 23 28 33 37,6,3760000
244,2021-12-22,2,9,14,19,24,27,33,37,02 09 14 19 24 27 33 37,2,9966300
245,2021-12-29,5,7,14,18,22,29,35,36,05 07 14 18 22 29 35 36,3,7573100
246,2022-01-05,5,7,14,16,25,26,35,37,05 07 14 16 25 26 35 37,1,19474400
247,2022-01-12,3,8,14,20,23,30,34,39,03 08 14 20 23 30 34 39,7,3194700
248,2022-01-19,3,6,14,18,24,30,34,37,03 06 14 18 24 30 34 37,2,10733200
249,2022-01-26,5,9,12,19,25,28,35,39,05 09 12 19 25 28 35 39,6,3820500
250,2022-02-02,3,6,11,17,23,28,35,38,03 06 11 17 23 28 35 38,4,5232700
251,2022-02-09,4,7,13,18,25,30,33,36,04 07 13 18 25 30 33 36,7,3151600
252,2022-02-16,5,10,14,17,22,29,34,36,05 10 14 17 22 29 34 36,5,4532200
253,2022-02-23,5,9,11,19,23,30,33,36,05 09 11 19 23 30 33 36,2,10202500
254,2022-03-02,3,10,11,20,23,29,31,37,03 10 11 20 23 29 31 37,5,4264700
255,2022-03-09,2,8,15,19,23,28,33,39,02 08 15 19 23 28 33 39,3,7192800
256,2022-03-16,3,8,12,17,24,27,33,37,03 08 12 17 24 27 33 37,13,1553800
257,2022-03-23,5,6,12,19,23,27,33,40,05 06 12 19 23 27 33 40,6,3375600
258,2022-03-30,4,9,15,16,22,27,35,38,04 09 15 16 22 27 35 38,1,23381300
259,2022-04-06,4,10,11,16,25,27,31,37,04 10 11 16 25 27 31 37,3,7398000
260,2022-04-13,5,8,14,18,25,28,31,38,05 08 14 18 25 28 31 38,5,4325700
261,2022-04-20,1,7,12,18,24,29,35,37,01 07 12 18 24 29 35 37,3,7013100
262,2022-04-27,3,6,13,20,23,30,34,38,03 06 13 20 23 30 34 38,3,7232900
263,2022-05-04,5,8,12,17,24,29,34,36,05 08 12 17 24 29 34 36,11,1814500
264,2022-05-11,1,10,12,16,23,28,34,36,01 10 12 16 23 28 34 36,3,6932400
265,2022-05-18,1,10,14,20,24,26,33,39,01 10 14 20 24 26 33 39,3,6883800
266,2022-05-25,5,7,12,18,23,26,35,36,05 07 12 18 23 26 35 36,5,3687600
267,2022-06-01,5,10,14,18,21,27,33,36,05 10 14 18 21 27 33 36,2,10097400
